Time,Open,High,Low,Close,TickVolume,RealVolume,Spread
2025.06.06 20:00:00,1.13956,1.13974,1.13910,1.13942,914,0,9
2025.06.06 16:00:00,1.13964,1.14016,1.13843,1.13959,9453,0,9
2025.06.06 12:00:00,1.14177,1.14303,1.13714,1.13965,28522,0,9
2025.06.06 08:00:00,1.14263,1.14289,1.14105,1.14177,9742,0,9
2025.06.06 04:00:00,1.14399,1.14421,1.14211,1.14264,8744,0,9
2025.06.06 00:00:00,1.14531,1.14568,1.14328,1.14399,6781,0,9
2025.06.05 20:00:00,1.14374,1.14535,1.14348,1.14531,3892,0,9
2025.06.05 16:00:00,1.14392,1.14480,1.14306,1.14376,11660,0,9
2025.06.05 12:00:00,1.14254,1.14947,1.14132,1.14390,34656,0,9
2025.06.05 08:00:00,1.14119,1.14324,1.14086,1.14255,10654,0,9
2025.06.05 04:00:00,1.14103,1.14248,1.14043,1.14116,9463,0,9
2025.06.05 00:00:00,1.14208,1.14345,1.14083,1.14103,9241,0,9
2025.06.04 20:00:00,1.14120,1.14283,1.14097,1.14206,3738,0,9
2025.06.04 16:00:00,1.14231,1.14340,1.14119,1.14120,7775,0,9
2025.06.04 12:00:00,1.13789,1.14342,1.13789,1.14231,19251,0,9
2025.06.04 08:00:00,1.13863,1.14035,1.13743,1.13788,10233,0,9
2025.06.04 04:00:00,1.13673,1.13966,1.13567,1.13864,12055,0,9
2025.06.04 00:00:00,1.13837,1.13928,1.13651,1.13671,9113,0,9
2025.06.03 20:00:00,1.13684,1.13856,1.13635,1.13839,3286,0,9
2025.06.03 16:00:00,1.13720,1.13829,1.13672,1.13685,7320,0,9
2025.06.03 12:00:00,1.13904,1.13946,1.13636,1.13718,17809,0,9
2025.06.03 08:00:00,1.14157,1.14183,1.13861,1.13901,12164,0,9
2025.06.03 04:00:00,1.14195,1.14320,1.14118,1.14158,10450,0,9
2025.06.03 00:00:00,1.14527,1.14544,1.14156,1.14195,8985,0,9
2025.06.02 20:00:00,1.14444,1.14535,1.14313,1.14528,3693,0,9
