Time,Open,High,Low,Close,TickVolume,RealVolume,Spread
2025.06.06 19:00:00,24311.90000,24327.80000,24302.40000,24306.20000,994,0,75
2025.06.06 18:00:00,24295.40000,24320.80000,24295.30000,24311.20000,818,0,75
2025.06.06 17:00:00,24279.10000,24301.00000,24264.20000,24296.90000,999,0,75
2025.06.06 16:00:00,24317.90000,24322.80000,24263.20000,24279.10000,1292,0,75
2025.06.06 15:00:00,24305.70000,24339.20000,24283.10000,24317.20000,1764,0,75
2025.06.06 14:00:00,24328.40000,24328.50000,24264.00000,24305.70000,1819,0,75
2025.06.06 13:00:00,24276.80000,24357.30000,24260.70000,24327.40000,2103,0,75
2025.06.06 12:00:00,24266.70000,24317.70000,24243.90000,24277.80000,1678,0,75
2025.06.06 11:00:00,24271.50000,24291.30000,24253.80000,24267.40000,1052,0,75
2025.06.06 10:00:00,24283.50000,24294.60000,24268.00000,24270.50000,864,0,75
2025.06.06 09:00:00,24274.30000,24307.30000,24258.60000,24282.30000,1235,0,75
2025.06.06 08:00:00,24235.20000,24282.10000,24214.50000,24273.40000,1572,0,75
2025.06.06 07:00:00,24305.20000,24327.60000,24212.40000,24234.60000,2265,0,75
2025.06.06 06:00:00,24310.00000,24318.70000,24282.50000,24302.80000,784,0,75
2025.06.06 05:00:00,24309.40000,24324.40000,24291.00000,24309.00000,399,0,75
2025.06.06 04:00:00,24273.70000,24310.00000,24261.40000,24309.60000,358,0,75
2025.06.06 03:00:00,24262.40000,24278.50000,24252.90000,24274.50000,353,0,75
2025.06.06 02:00:00,24266.30000,24277.30000,24258.80000,24261.50000,301,0,75
2025.06.06 01:00:00,24279.90000,24289.60000,24262.20000,24265.30000,512,0,75
2025.06.06 00:00:00,24231.00000,24287.30000,24230.60000,24279.00000,818,0,75
2025.06.05 23:00:00,24254.30000,24260.30000,24229.50000,24229.50000,714,0,75
2025.06.05 22:00:00,24201.80000,24255.20000,24190.10000,24254.20000,603,0,75
2025.06.05 20:00:00,24240.60000,24260.70000,24215.20000,24219.00000,1964,0,75
2025.06.05 19:00:00,24263.10000,24272.20000,24182.60000,24239.60000,3419,0,75
2025.06.05 18:00:00,24283.60000,24293.00000,24203.20000,24262.50000,1820,0,75
2025.06.05 17:00:00,24237.50000,24318.00000,24227.60000,24283.60000,1484,0,75
2025.06.05 16:00:00,24328.50000,24334.70000,24225.40000,24238.20000,2102,0,75
2025.06.05 15:00:00,24344.00000,24349.90000,24293.50000,24326.90000,1850,0,75
2025.06.05 14:00:00,24227.30000,24374.30000,24227.30000,24343.30000,3633,0,75
2025.06.05 13:00:00,24416.10000,24426.80000,24219.90000,24228.30000,4034,0,75
2025.06.05 12:00:00,24337.30000,24489.10000,24311.40000,24412.10000,2365,0,75
2025.06.05 11:00:00,24351.20000,24360.80000,24320.10000,24338.20000,1114,0,75
2025.06.05 10:00:00,24365.00000,24388.90000,24343.30000,24352.40000,937,0,75
2025.06.05 09:00:00,24360.30000,24390.80000,24346.40000,24364.40000,1097,0,75
