Time,Open,High,Low,Close,TickVolume,RealVolume,Spread
2025.06.06 20:45:00,1.35244,1.35286,1.35232,1.35255,299,0,11
2025.06.06 20:30:00,1.35281,1.35294,1.35241,1.35244,140,0,11
2025.06.06 20:15:00,1.35294,1.35305,1.35280,1.35281,208,0,11
2025.06.06 20:00:00,1.35315,1.35321,1.35284,1.35295,316,0,11
2025.06.06 19:45:00,1.35300,1.35332,1.35264,1.35313,471,0,11
2025.06.06 19:30:00,1.35294,1.35315,1.35284,1.35300,410,0,11
2025.06.06 19:15:00,1.35319,1.35326,1.35285,1.35294,408,0,11
2025.06.06 19:00:00,1.35292,1.35341,1.35292,1.35320,441,0,11
2025.06.06 18:45:00,1.35306,1.35306,1.35273,1.35291,447,0,11
2025.06.06 18:30:00,1.35290,1.35330,1.35250,1.35309,661,0,11
2025.06.06 18:15:00,1.35279,1.35313,1.35260,1.35288,599,0,11
2025.06.06 18:00:00,1.35257,1.35311,1.35252,1.35281,617,0,11
2025.06.06 17:45:00,1.35195,1.35273,1.35191,1.35257,637,0,11
2025.06.06 17:30:00,1.35226,1.35254,1.35175,1.35194,631,0,11
2025.06.06 17:15:00,1.35242,1.35282,1.35199,1.35223,540,0,11
2025.06.06 17:00:00,1.35191,1.35244,1.35153,1.35244,658,0,11
2025.06.06 16:45:00,1.35270,1.35282,1.35175,1.35189,726,0,11
2025.06.06 16:30:00,1.35257,1.35278,1.35192,1.35272,808,0,11
2025.06.06 16:15:00,1.35283,1.35343,1.35257,1.35257,798,0,11
2025.06.06 16:00:00,1.35308,1.35356,1.35278,1.35283,762,0,11
2025.06.06 15:45:00,1.35341,1.35345,1.35281,1.35307,735,0,11
2025.06.06 15:30:00,1.35255,1.35343,1.35242,1.35338,969,0,11
2025.06.06 15:15:00,1.35231,1.35266,1.35164,1.35255,1266,0,11
2025.06.06 15:00:00,1.35258,1.35305,1.35184,1.35231,1400,0,11
2025.06.06 14:45:00,1.35344,1.35347,1.35176,1.35259,1372,0,11
2025.06.06 14:30:00,1.35458,1.35477,1.35333,1.35344,1247,0,11
2025.06.06 14:15:00,1.35342,1.35474,1.35306,1.35461,1382,0,11
2025.06.06 14:00:00,1.35211,1.35367,1.35159,1.35338,1800,0,11
2025.06.06 13:45:00,1.35226,1.35335,1.35172,1.35207,1598,0,11
2025.06.06 13:30:00,1.35097,1.35285,1.35097,1.35225,1676,0,11
2025.06.06 13:15:00,1.35313,1.35353,1.35071,1.35099,1464,0,11
2025.06.06 13:00:00,1.35354,1.35439,1.35241,1.35313,1964,0,11
2025.06.06 12:45:00,1.35304,1.35402,1.35270,1.35359,2521,0,11
2025.06.06 12:30:00,1.35395,1.35625,1.35184,1.35302,3597,0,11
2025.06.06 12:15:00,1.35395,1.35482,1.35395,1.35414,863,0,11
2025.06.06 12:00:00,1.35506,1.35537,1.35377,1.35395,750,0,11
2025.06.06 11:45:00,1.35520,1.35529,1.35480,1.35505,643,0,11
2025.06.06 11:30:00,1.35424,1.35548,1.35422,1.35520,609,0,11
2025.06.06 11:15:00,1.35450,1.35469,1.35421,1.35424,469,0,11
2025.06.06 11:00:00,1.35492,1.35504,1.35440,1.35450,659,0,11
2025.06.06 10:45:00,1.35479,1.35516,1.35452,1.35491,566,0,11
2025.06.06 10:30:00,1.35432,1.35498,1.35431,1.35476,503,0,11
2025.06.06 10:15:00,1.35394,1.35464,1.35374,1.35430,619,0,11
2025.06.06 10:00:00,1.35334,1.35397,1.35331,1.35396,541,0,11
2025.06.06 09:45:00,1.35381,1.35394,1.35323,1.35334,594,0,11
2025.06.06 09:30:00,1.35376,1.35394,1.35332,1.35382,582,0,11
2025.06.06 09:15:00,1.35309,1.35380,1.35297,1.35374,592,0,11
2025.06.06 09:00:00,1.35374,1.35394,1.35292,1.35307,582,0,11
2025.06.06 08:45:00,1.35421,1.35421,1.35337,1.35373,656,0,11
2025.06.06 08:30:00,1.35435,1.35461,1.35373,1.35425,730,0,11
2025.06.06 08:15:00,1.35412,1.35478,1.35366,1.35437,605,0,11
2025.06.06 08:00:00,1.35450,1.35467,1.35412,1.35415,749,0,11
2025.06.06 07:45:00,1.35499,1.35499,1.35412,1.35450,872,0,11
2025.06.06 07:30:00,1.35427,1.35502,1.35407,1.35499,859,0,11
2025.06.06 07:15:00,1.35475,1.35505,1.35411,1.35425,967,0,11
2025.06.06 07:00:00,1.35501,1.35518,1.35345,1.35475,1005,0,11
2025.06.06 06:45:00,1.35467,1.35558,1.35462,1.35499,742,0,11
2025.06.06 06:30:00,1.35483,1.35493,1.35435,1.35464,741,0,11
2025.06.06 06:15:00,1.35563,1.35563,1.35460,1.35483,915,0,11
2025.06.06 06:00:00,1.35656,1.35670,1.35541,1.35564,587,0,11
2025.06.06 05:45:00,1.35625,1.35666,1.35610,1.35661,413,0,11
2025.06.06 05:30:00,1.35644,1.35659,1.35619,1.35627,382,0,11
2025.06.06 05:15:00,1.35698,1.35712,1.35636,1.35644,417,0,11
2025.06.06 05:00:00,1.35747,1.35747,1.35693,1.35697,421,0,11
2025.06.06 04:45:00,1.35724,1.35763,1.35718,1.35747,288,0,11
2025.06.06 04:30:00,1.35732,1.35740,1.35710,1.35724,349,0,11
2025.06.06 04:15:00,1.35723,1.35748,1.35721,1.35730,338,0,11
2025.06.06 04:00:00,1.35717,1.35746,1.35707,1.35721,416,0,11
2025.06.06 03:45:00,1.35737,1.35753,1.35715,1.35717,344,0,11
2025.06.06 03:30:00,1.35712,1.35744,1.35701,1.35736,352,0,11
2025.06.06 03:15:00,1.35710,1.35730,1.35700,1.35712,378,0,11
2025.06.06 03:00:00,1.35692,1.35716,1.35680,1.35711,392,0,11
2025.06.06 02:45:00,1.35674,1.35709,1.35670,1.35694,395,0,11
2025.06.06 02:30:00,1.35679,1.35688,1.35651,1.35675,430,0,11
2025.06.06 02:15:00,1.35708,1.35713,1.35658,1.35679,537,0,11
2025.06.06 02:00:00,1.35741,1.35751,1.35690,1.35712,608,0,11
2025.06.06 01:45:00,1.35773,1.35793,1.35723,1.35738,524,0,11
2025.06.06 01:30:00,1.35827,1.35833,1.35752,1.35775,569,0,11
2025.06.06 01:15:00,1.35801,1.35836,1.35780,1.35828,543,0,11
2025.06.06 01:00:00,1.35783,1.35814,1.35745,1.35801,483,0,11
2025.06.06 00:45:00,1.35813,1.35834,1.35782,1.35785,503,0,11
2025.06.06 00:30:00,1.35809,1.35843,1.35790,1.35814,409,0,11
2025.06.06 00:15:00,1.35821,1.35835,1.35801,1.35807,454,0,11
2025.06.06 00:00:00,1.35783,1.35836,1.35783,1.35821,574,0,11
2025.06.05 23:45:00,1.35781,1.35807,1.35768,1.35785,341,0,11
2025.06.05 23:30:00,1.35763,1.35785,1.35762,1.35781,218,0,11
2025.06.05 23:15:00,1.35785,1.35787,1.35759,1.35763,196,0,11
2025.06.05 23:00:00,1.35777,1.35793,1.35741,1.35786,282,0,11
2025.06.05 22:45:00,1.35764,1.35776,1.35755,1.35773,163,0,11
2025.06.05 22:30:00,1.35743,1.35765,1.35738,1.35764,209,0,11
2025.06.05 22:15:00,1.35752,1.35764,1.35735,1.35743,201,0,11
2025.06.05 22:00:00,1.35745,1.35752,1.35720,1.35751,185,0,11
2025.06.05 21:45:00,1.35693,1.35722,1.35655,1.35655,224,0,11
2025.06.05 21:30:00,1.35670,1.35701,1.35661,1.35693,165,0,11
2025.06.05 21:15:00,1.35638,1.35679,1.35630,1.35667,117,0,11
2025.06.05 21:00:00,1.35678,1.35700,1.35631,1.35642,127,0,11
2025.06.05 20:45:00,1.35704,1.35736,1.35681,1.35681,316,0,11
2025.06.05 20:30:00,1.35706,1.35715,1.35699,1.35704,227,0,11
2025.06.05 20:15:00,1.35741,1.35756,1.35702,1.35707,282,0,11
2025.06.05 20:00:00,1.35732,1.35753,1.35705,1.35743,412,0,11
2025.06.05 19:45:00,1.35683,1.35737,1.35676,1.35732,583,0,11
2025.06.05 19:30:00,1.35737,1.35747,1.35661,1.35683,727,0,11
2025.06.05 19:15:00,1.35726,1.35776,1.35685,1.35740,843,0,11
2025.06.05 19:00:00,1.35790,1.35805,1.35720,1.35725,688,0,11
2025.06.05 18:45:00,1.35753,1.35804,1.35690,1.35791,680,0,11
2025.06.05 18:30:00,1.35783,1.35807,1.35751,1.35754,511,0,11
2025.06.05 18:15:00,1.35757,1.35800,1.35727,1.35782,578,0,11
2025.06.05 18:00:00,1.35885,1.35887,1.35742,1.35758,576,0,11
2025.06.05 17:45:00,1.35811,1.35893,1.35786,1.35888,593,0,11
2025.06.05 17:30:00,1.35840,1.35861,1.35788,1.35812,544,0,11
2025.06.05 17:15:00,1.35816,1.35855,1.35798,1.35842,594,0,11
2025.06.05 17:00:00,1.35863,1.35877,1.35794,1.35816,653,0,11
2025.06.05 16:45:00,1.35811,1.35860,1.35789,1.35860,814,0,11
2025.06.05 16:30:00,1.35822,1.35840,1.35791,1.35809,703,0,11
2025.06.05 16:15:00,1.35811,1.35873,1.35793,1.35819,798,0,11
2025.06.05 16:00:00,1.35813,1.35835,1.35758,1.35808,820,0,11
