Time,Open,High,Low,Close,TickVolume,RealVolume,Spread
2025.06.06 16:00:00,24317.90000,24327.80000,24263.20000,24306.20000,4103,0,75
2025.06.06 12:00:00,24266.70000,24357.30000,24243.90000,24317.20000,7364,0,75
2025.06.06 08:00:00,24235.20000,24307.30000,24214.50000,24267.40000,4723,0,75
2025.06.06 04:00:00,24273.70000,24327.60000,24212.40000,24234.60000,3806,0,75
2025.06.06 00:00:00,24231.00000,24289.60000,24230.60000,24274.50000,1984,0,75
2025.06.05 20:00:00,24240.60000,24260.70000,24190.10000,24229.50000,3281,0,75
2025.06.05 16:00:00,24328.50000,24334.70000,24182.60000,24239.60000,8825,0,75
2025.06.05 12:00:00,24337.30000,24489.10000,24219.90000,24326.90000,11882,0,75
2025.06.05 08:00:00,24340.80000,24401.50000,24320.10000,24338.20000,4597,0,75
2025.06.05 04:00:00,24286.30000,24343.80000,24239.40000,24340.10000,3040,0,75
2025.06.05 00:00:00,24259.60000,24293.20000,24253.50000,24286.40000,1362,0,75
2025.06.04 20:00:00,24266.70000,24282.00000,24252.30000,24261.10000,1601,0,75
2025.06.04 16:00:00,24277.20000,24302.90000,24252.10000,24267.90000,4012,0,75
2025.06.04 12:00:00,24248.40000,24293.70000,24129.80000,24278.80000,9367,0,75
2025.06.04 08:00:00,24303.70000,24351.60000,24211.30000,24246.80000,7048,0,75
2025.06.04 04:00:00,24155.00000,24311.00000,24151.80000,24302.20000,4878,0,75
2025.06.04 00:00:00,24165.40000,24171.60000,24130.80000,24156.00000,1722,0,75
2025.06.03 20:00:00,24140.20000,24171.60000,24124.30000,24159.60000,1902,0,75
2025.06.03 16:00:00,24111.60000,24149.50000,24101.60000,24141.80000,3736,0,75
2025.06.03 12:00:00,23961.30000,24116.10000,23936.40000,24113.20000,7927,0,75
2025.06.03 08:00:00,23886.60000,24000.90000,23841.20000,23961.40000,7816,0,75
2025.06.03 04:00:00,23995.10000,24061.60000,23822.20000,23885.00000,5029,0,75
2025.06.03 00:00:00,24049.30000,24064.50000,23977.50000,23994.20000,1670,0,75
2025.06.02 20:00:00,24082.30000,24110.80000,24024.60000,24051.00000,1915,0,75
2025.06.02 16:00:00,23959.20000,24091.90000,23945.30000,24083.90000,5430,0,75
2025.06.02 12:00:00,23924.20000,23978.80000,23740.60000,23960.80000,11455,0,75
2025.06.02 08:00:00,23840.00000,23949.30000,23832.30000,23923.30000,8749,0,75
2025.06.02 04:00:00,23952.40000,23994.70000,23768.30000,23839.30000,6759,0,75
2025.06.02 00:00:00,23990.50000,24027.20000,23948.70000,23950.80000,2869,0,75
