Time,Open,High,Low,Close,TickVolume,RealVolume,Spread
2025.07.06 09:00:00,108056.75000,108123.95000,108032.76000,108071.69000,10801,0,2160
2025.07.06 08:00:00,108096.31000,108124.79000,108015.21000,108056.64000,24426,0,2160
2025.07.06 07:00:00,108162.19000,108252.87000,108091.40000,108096.71000,21287,0,2160
2025.07.06 06:00:00,108014.19000,108261.98000,107985.51000,108162.48000,17972,0,2160
2025.07.06 05:00:00,108012.71000,108055.16000,107969.95000,108014.10000,23892,0,2160
2025.07.06 04:00:00,108098.71000,108151.44000,107993.44000,108012.64000,24200,0,2160
2025.07.06 03:00:00,108098.01000,108156.35000,108059.69000,108098.37000,20750,0,2160
2025.07.06 02:00:00,108243.96000,108310.42000,108086.28000,108098.36000,20719,0,2160
2025.07.06 01:00:00,108251.95000,108263.39000,108123.74000,108243.58000,20418,0,2160
2025.07.06 00:00:00,108267.12000,108312.17000,108161.88000,108252.08000,20888,0,2160
2025.07.05 23:00:00,108221.84000,108288.76000,108207.97000,108266.45000,20825,0,2160
2025.07.05 22:00:00,108129.30000,108243.19000,108089.41000,108221.93000,23363,0,2160
2025.07.05 21:00:00,108122.77000,108191.29000,108094.92000,108129.13000,23725,0,2160
2025.07.05 20:00:00,108169.61000,108201.68000,108018.23000,108122.77000,24193,0,2160
2025.07.05 19:00:00,108045.11000,108230.31000,107996.49000,108169.07000,24571,0,2160
2025.07.05 18:00:00,108115.99000,108141.34000,107997.63000,108045.13000,24590,0,2160
2025.07.05 17:00:00,108144.37000,108227.12000,107962.36000,108115.98000,24399,0,2160
2025.07.05 16:00:00,108128.47000,108172.69000,107912.75000,108144.45000,24486,0,2160
2025.07.05 15:00:00,108251.72000,108259.18000,108101.15000,108128.79000,24340,0,2160
2025.07.05 14:00:00,108167.47000,108279.51000,108130.89000,108253.15000,23966,0,2160
2025.07.05 13:00:00,108197.01000,108300.37000,108143.25000,108168.30000,24083,0,2160
2025.07.05 12:00:00,108161.79000,108216.17000,108017.22000,108196.97000,24303,0,2160
2025.07.05 11:00:00,108138.97000,108275.35000,108136.22000,108161.60000,24113,0,2160
2025.07.05 10:00:00,108125.30000,108277.85000,108096.86000,108140.46000,24184,0,2160
2025.07.05 09:00:00,108072.91000,108192.13000,107923.98000,108125.09000,23262,0,2160
2025.07.05 08:00:00,108121.97000,108182.26000,107973.96000,108072.97000,23198,0,2160
2025.07.05 07:00:00,108318.96000,108332.32000,108058.52000,108121.98000,23014,0,2160
2025.07.05 06:00:00,108162.28000,108354.33000,108097.99000,108318.13000,22499,0,2160
2025.07.05 05:00:00,108191.41000,108220.36000,108044.04000,108162.26000,22830,0,2160
2025.07.05 04:00:00,108195.72000,108475.96000,108078.13000,108191.48000,23040,0,2160
2025.07.05 03:00:00,108125.55000,108333.26000,108122.37000,108195.95000,22930,0,2160
2025.07.05 02:00:00,108055.73000,108157.68000,107795.63000,108125.10000,23009,0,2160
2025.07.05 01:00:00,108248.51000,108251.34000,107938.08000,108055.29000,23062,0,2160
2025.07.05 00:00:00,108047.24000,108299.21000,107987.19000,108248.56000,23111,0,2160
2025.07.04 23:00:00,108308.18000,108318.34000,107986.41000,108047.38000,23259,0,2160
2025.07.04 22:00:00,107965.01000,108337.31000,107924.40000,108307.78000,24019,0,2160
2025.07.04 21:00:00,107741.81000,108003.79000,107734.86000,107965.78000,23386,0,2160
2025.07.04 20:00:00,107518.62000,107865.86000,107473.45000,107740.41000,22925,0,2160
