Time,Open,High,Low,Close,TickVolume,RealVolume,Spread
2025.06.06 19:45:00,24320.80000,24327.80000,24302.40000,24306.20000,328,0,75
2025.06.06 19:30:00,24311.40000,24326.90000,24309.40000,24320.80000,239,0,75
2025.06.06 19:15:00,24310.30000,24320.10000,24307.40000,24313.00000,201,0,75
2025.06.06 19:00:00,24311.90000,24316.80000,24307.30000,24311.00000,226,0,75
2025.06.06 18:45:00,24312.00000,24318.90000,24308.30000,24311.20000,168,0,75
2025.06.06 18:30:00,24305.30000,24320.80000,24305.30000,24312.00000,280,0,75
2025.06.06 18:15:00,24305.00000,24315.00000,24302.30000,24305.70000,167,0,75
2025.06.06 18:00:00,24295.40000,24311.00000,24295.30000,24304.40000,203,0,75
2025.06.06 17:45:00,24298.80000,24301.00000,24291.30000,24296.90000,183,0,75
2025.06.06 17:30:00,24286.90000,24297.90000,24286.30000,24297.90000,209,0,75
2025.06.06 17:15:00,24272.30000,24292.90000,24268.30000,24286.30000,268,0,75
2025.06.06 17:00:00,24279.10000,24281.80000,24264.20000,24273.20000,339,0,75
2025.06.06 16:45:00,24285.90000,24293.80000,24263.20000,24279.10000,356,0,75
2025.06.06 16:30:00,24306.10000,24311.70000,24281.90000,24285.20000,317,0,75
2025.06.06 16:15:00,24314.20000,24314.90000,24302.20000,24306.80000,354,0,75
2025.06.06 16:00:00,24317.90000,24322.80000,24309.60000,24314.80000,265,0,75
2025.06.06 15:45:00,24314.60000,24325.80000,24310.20000,24317.20000,289,0,75
2025.06.06 15:30:00,24295.70000,24315.80000,24295.20000,24314.10000,511,0,75
2025.06.06 15:15:00,24334.80000,24334.80000,24283.10000,24295.70000,554,0,75
2025.06.06 15:00:00,24305.70000,24339.20000,24300.00000,24335.80000,410,0,75
2025.06.06 14:45:00,24319.80000,24328.50000,24299.00000,24305.70000,379,0,75
2025.06.06 14:30:00,24294.60000,24324.50000,24285.50000,24319.50000,356,0,75
2025.06.06 14:15:00,24283.00000,24304.60000,24274.90000,24294.50000,518,0,75
2025.06.06 14:00:00,24328.40000,24328.40000,24264.00000,24284.50000,566,0,75
2025.06.06 13:45:00,24349.30000,24357.30000,24316.80000,24327.40000,589,0,75
2025.06.06 13:30:00,24324.90000,24353.30000,24311.90000,24347.40000,654,0,75
2025.06.06 13:15:00,24306.40000,24333.50000,24302.80000,24325.00000,382,0,75
2025.06.06 13:00:00,24276.80000,24307.40000,24260.70000,24304.80000,478,0,75
2025.06.06 12:45:00,24290.20000,24294.20000,24261.70000,24277.80000,449,0,75
2025.06.06 12:30:00,24254.20000,24317.70000,24254.20000,24289.20000,669,0,75
2025.06.06 12:15:00,24285.40000,24286.40000,24243.90000,24257.60000,298,0,75
2025.06.06 12:00:00,24266.70000,24303.00000,24266.70000,24284.60000,262,0,75
2025.06.06 11:45:00,24274.50000,24274.50000,24253.80000,24267.40000,259,0,75
2025.06.06 11:30:00,24281.40000,24291.30000,24271.80000,24274.50000,262,0,75
2025.06.06 11:15:00,24266.30000,24290.60000,24265.60000,24280.70000,238,0,75
2025.06.06 11:00:00,24271.50000,24284.90000,24257.80000,24265.60000,293,0,75
2025.06.06 10:45:00,24283.00000,24283.60000,24268.00000,24270.50000,221,0,75
2025.06.06 10:30:00,24276.80000,24294.60000,24274.80000,24284.00000,203,0,75
2025.06.06 10:15:00,24275.80000,24287.30000,24269.80000,24276.80000,210,0,75
2025.06.06 10:00:00,24283.50000,24288.50000,24270.80000,24276.80000,230,0,75
2025.06.06 09:45:00,24297.40000,24307.30000,24282.30000,24282.30000,323,0,75
2025.06.06 09:30:00,24280.40000,24304.40000,24276.00000,24296.50000,251,0,75
